User Name,Team,Type,Org,Real name
VanCanucks, Canucks,Team,Canucks,NA
LAKings, Kings,Team,Kings,NA
TSNBobMcKenzie,NA,Insider,TSN,Bob McKenzie
strombone1,Panthers,Player,Panthers,Roberto Luongo
